24-06-13 13:24:00.186 [main] INFO  o.s.b.d.r.RestartApplicationListener - Restart disabled due to context in which it is running 
24-06-13 13:24:00.475 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final 
24-06-13 13:24:00.503 [main] INFO  c.E.r.SalaryPaymentTestRepository - Starting SalaryPaymentTestRepository using Java 17.0.11 with PID 18576 (started by Raman in D:\RamansERP) 
24-06-13 13:24:00.504 [main] INFO  c.E.r.SalaryPaymentTestRepository - No active profile set, falling back to 1 default profile: "default" 
24-06-13 13:24:02.013 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
24-06-13 13:24:02.184 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 153 ms. Found 13 JPA repository interfaces. 
24-06-13 13:24:02.983 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default] 
24-06-13 13:24:03.096 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final 
24-06-13 13:24:03.151 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled 
24-06-13 13:24:03.567 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer 
24-06-13 13:24:03.608 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... 
24-06-13 13:24:05.277 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@26495639 
24-06-13 13:24:05.284 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. 
24-06-13 13:24:05.537 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default) 
24-06-13 13:24:05.541 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead 
24-06-13 13:24:07.930 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration) 
24-06-13 13:24:10.919 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default' 
24-06-13 13:24:12.160 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
24-06-13 13:24:12.623 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@336b7da4, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6019ce4b, org.springframework.security.web.context.SecurityContextHolderFilter@8850865, org.springframework.security.web.header.HeaderWriterFilter@4b38d912, org.springframework.security.web.authentication.logout.LogoutFilter@7a7d25ca, com.ERP.security.JwtAuthenticationFilter@66075347, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7dcc6679, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@44ad3c5e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1e79b0fc, org.springframework.security.web.session.SessionManagementFilter@29f3ea39, org.springframework.security.web.access.ExceptionTranslationFilter@5e3a577a, org.springframework.security.web.access.intercept.AuthorizationFilter@5e81b406] 
24-06-13 13:24:13.315 [main] INFO  c.E.r.SalaryPaymentTestRepository - Started SalaryPaymentTestRepository in 13.135 seconds (process running for 15.038) 
