24-06-11 18:35:03.530 [main] INFO  c.E.r.ProjectRepositoryTest - deleteProject passed 
24-06-11 18:35:03.538 [main] INFO  c.E.r.ProjectRepositoryTest - Starting saveProjectTest 
24-06-11 18:35:04.416 [main] INFO  c.E.r.ProjectRepositoryTest - saveProjectTest passed 
24-06-11 18:35:04.428 [main] INFO  c.E.r.ProjectRepositoryTest - Starting findProjectById 
24-06-11 18:35:13.606 [main] INFO  c.E.r.ProjectRepositoryTest - findProjectById passed 
24-06-11 18:35:13.622 [main] INFO  c.E.r.ProjectRepositoryTest - Starting findAllProjects 
24-06-11 18:35:21.581 [main] INFO  c.E.r.ProjectRepositoryTest - findAllProjects passed 
24-06-11 18:35:21.800 [main] INFO  c.ERP.servicesTest.AssetServiceTest - Starting findAllAssetTest 
24-06-11 18:35:21.816 [main] INFO  c.ERP.servicesTest.AssetServiceTest - findAllAssetTest passed 
24-06-11 18:35:21.816 [main] INFO  c.ERP.servicesTest.AssetServiceTest - Starting updateAssetTest 
24-06-11 18:35:21.816 [main] INFO  c.ERP.servicesTest.AssetServiceTest - updateAssetTest passed 
24-06-11 18:35:21.816 [main] INFO  c.ERP.servicesTest.AssetServiceTest - Starting createAllAssetsTest 
24-06-11 18:35:21.816 [main] INFO  c.ERP.servicesTest.AssetServiceTest - createAllAssetsTest passed 
24-06-11 18:35:21.832 [main] INFO  c.ERP.servicesTest.AssetServiceTest - Starting createAssetTest 
24-06-11 18:35:21.832 [main] INFO  c.ERP.servicesTest.AssetServiceTest - createAssetTest passed 
24-06-11 18:35:21.832 [main] INFO  c.ERP.servicesTest.AssetServiceTest - Starting findAssetTest 
24-06-11 18:35:21.832 [main] INFO  c.ERP.servicesTest.AssetServiceTest - findAssetTest passed 
24-06-11 18:35:21.832 [main] INFO  c.ERP.servicesTest.AssetServiceTest - Starting deleteAssetTest 
24-06-11 18:35:21.847 [main] INFO  c.ERP.servicesTest.AssetServiceTest - deleteAssetTest passed 
24-06-11 18:35:22.160 [main] INFO  c.E.s.DepartmentServiceTest - Starting updateDepartmentTest 
24-06-11 18:35:22.160 [main] INFO  c.E.s.DepartmentServiceTest - updateDepartmentTest passed 
24-06-11 18:35:22.176 [main] INFO  c.E.s.DepartmentServiceTest - Starting createDepartmentTest 
24-06-11 18:35:22.176 [main] INFO  c.E.s.DepartmentServiceTest - createDepartmentTest passed 
24-06-11 18:35:22.176 [main] INFO  c.E.s.DepartmentServiceTest - Starting deleteDepartmentTest 
24-06-11 18:35:22.191 [main] INFO  c.E.s.DepartmentServiceTest - deleteDepartmentTest passed 
24-06-11 18:35:22.191 [main] INFO  c.E.s.DepartmentServiceTest - Starting findDepartmentTest 
24-06-11 18:35:22.191 [main] INFO  c.E.s.DepartmentServiceTest - findDepartmentTest passed 
24-06-11 18:35:22.191 [main] INFO  c.E.s.DepartmentServiceTest - Starting createAllDepartmentsTest 
24-06-11 18:35:22.207 [main] INFO  c.E.s.DepartmentServiceTest - createAllDepartmentsTest passed 
24-06-11 18:35:22.207 [main] INFO  c.E.s.DepartmentServiceTest - Starting findAllDepartmentTest 
24-06-11 18:35:22.207 [main] INFO  c.E.s.DepartmentServiceTest - findAllDepartmentTest passed 
24-06-11 18:35:22.519 [main] INFO  c.E.servicesTest.InvoiceServiceTest - Starting updateInvoiceTest 
24-06-11 18:35:22.535 [main] INFO  c.E.servicesTest.InvoiceServiceTest - updateInvoiceTest passed 
24-06-11 18:35:22.535 [main] INFO  c.E.servicesTest.InvoiceServiceTest - Starting createAllInvoicesTest 
24-06-11 18:35:22.535 [main] INFO  c.E.servicesTest.InvoiceServiceTest - createAllInvoicesTest passed 
24-06-11 18:35:22.551 [main] INFO  c.E.servicesTest.InvoiceServiceTest - Starting deleteInvoiceTest 
24-06-11 18:35:22.551 [main] INFO  c.E.servicesTest.InvoiceServiceTest - deleteInvoiceTest passed 
24-06-11 18:35:22.551 [main] INFO  c.E.servicesTest.InvoiceServiceTest - Starting findAllInvoiceTest 
24-06-11 18:35:22.551 [main] INFO  c.E.servicesTest.InvoiceServiceTest - findAllInvoiceTest passed 
24-06-11 18:35:22.551 [main] INFO  c.E.servicesTest.InvoiceServiceTest - Starting createInvoiceTest 
24-06-11 18:35:22.572 [main] INFO  c.E.servicesTest.InvoiceServiceTest - createInvoiceTest passed 
24-06-11 18:35:22.572 [main] INFO  c.E.servicesTest.InvoiceServiceTest - Starting findInvoiceTest 
24-06-11 18:35:22.572 [main] INFO  c.E.servicesTest.InvoiceServiceTest - findInvoiceTest passed 
24-06-11 18:35:22.895 [main] INFO  c.E.servicesTest.ProjectServiceTest - Starting updateProjectTest 
24-06-11 18:35:22.895 [main] INFO  c.E.servicesTest.ProjectServiceTest - updateProjectTest passed 
24-06-11 18:35:22.911 [main] INFO  c.E.servicesTest.ProjectServiceTest - Starting deleteProjectTest 
24-06-11 18:35:22.911 [main] INFO  c.E.servicesTest.ProjectServiceTest - deleteProjectTest passed 
24-06-11 18:35:22.911 [main] INFO  c.E.servicesTest.ProjectServiceTest - Starting findAllProjectTest 
24-06-11 18:35:22.911 [main] INFO  c.E.servicesTest.ProjectServiceTest - findAllProjectTest passed 
24-06-11 18:35:22.927 [main] INFO  c.E.servicesTest.ProjectServiceTest - Starting createProjectTest 
